更新日期,#genre#
📺┃广东频道,#genre#
广州综合,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1432.m3u8$IPV6•线路1
广州综合,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/2001.m3u8$IPV6•线路2
广州新闻,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/2002.m3u8$IPV6•线路1
广州新闻,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1433.m3u8$IPV6•线路2
广东珠江,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1437.m3u8$IPV6
广东体育,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1413.m3u8$IPV6•线路1
广东体育,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1216.m3u8$IPV6•线路2
广东民生,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1455.m3u8$IPV6•线路1
广东民生,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1214.m3u8$IPV6•线路2
广东影视,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1458_7500.m3u8$IPV6•线路1
广东影视,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1220.m3u8$IPV6•线路2
经济科教,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1422.m3u8$IPV6•线路1
经济科教,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1218.m3u8$IPV6•线路2
岭南戏曲,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1460.m3u8$IPV6
大湾区卫视,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1217.m3u8$IPV6•线路1
大湾区卫视,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1456.m3u8$IPV6•线路2
🍓┃湾区频道,#genre#
翡翠台,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1302.m3u8$IPV6
明珠台,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1304.m3u8$IPV6
📠┃央视频道,#genre#
CCTV1,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/3807.m3u8$IPV6•线路1
CCTV1,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1402_7500.m3u8$IPV6•线路2
CCTV1,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/3025.m3u8$IPV6•线路3
CCTV1,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1001.m3u8$IPV6•线路4
CCTV2,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1002.m3u8$IPV6•线路1
CCTV2,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1602_7500.m3u8$IPV6•线路2
CCTV3,http://[2605:6400:20:e33:19c6:b2fe:332b:d62d]:9090/live/1003.m3u8$IPV6•线路1
